input,risposta
,
comunque dovrei trovare la voglia di disinstallare tutto anch'io ogni tanto,"Non piace a nessuno :(. Ma io la tengo lo stesso perché credo che mi rappresenti abbastanza. Ma io in realtà, a parte gli ultimi due giorni, era 4 mesi che non avevo più i social. Le poche volte che ti ho scritto su insta era da Google"
quindi ti sei abituato,"Bu si. Ho avuto un periodo di """"rinascita"""" in cui mi sono detto ""che vita di merda"" e ho tipo ribaltato tutto nella mia routine. Anche se poi è bastata una caduta e non ci sono più tornato😃"
una caduta?,"Tipo l'altro giorno che sono stato male per la roba di Giulia e la discoteca. Sono un tantino ipersensibile e quindi quando capitano ste cose, anche se piccole, mi sfiancano come non so cosa anche per tutto il giorno. Solo che dopo la forza di volontà, voglia di fare le cose, energia, ecc se ne vanno tutte affanculo e riprendere tutto non è così semplice. Ed ecco perché vado male a scuola hahaha quando succedono queste cose poi ovviamente non riesco a studiare e quindi prendo voti orribili, poi mi riprendo e prendo bellissimi voti"
non dev'essere facile,"Nup. Affatto. Però è anche vero che ho chi mi aiuta. Come tua sorella haha poveretta, ogni volta che sto male lei mi ascolta sempre, non c'è mai stata una volta che non mi abbia aiutato"
grande ste,"Poi va be', con il tempo mi sono abituato e a scuola ho accettato il fatto di non poter avere una media alta. Il più è che può essere difficile da capire per chi mi sta attorno"
null,"Ma sta studiando i sassi..?. Va be' dai, torno a provare a studiare letteratura inglese"
null,Che domani mi interroga e non vorrei prendere 4😃
andrà benee,Molto
<Media omitted>,Mi sono schiantato in bici e ora sono mezzo rincoglionito. Però la cosa buona è che sto andando a dormire ora quindi almeno recupererò un po' di sonno hahaha (spero). Btw.. notte :)
buonanotte (spero),Non lo so hahahha poi ti spiego. Alla fine ho dormito 8 ore e mezza😃
ma allora serve davvero sfasciarsi in bici,"Si.. Cioè ho dormito male eh, come sempre, però almeno ho dormito hahahaha"
ma ti sei fatto male?,"Un po', più che altro sono caduto di pancia (è stata una caduta strana) e mi fa ancora un po' male, il resto sono un po' dolorante un generale, tipo gomiti e ginocchia, ma niente di grave"
di pancia??,In realtà fa ancora più ridere di così. Per essere precisi sono caduto dalla bici in avanti mentre ero in salita. 🙃
ma che male,"Boh ma ho qualcosa con le bici ultimamente. Nell'ultimo mese ho bucato due gomme, rotto due freni e adesso aperto in due le forcelle della ruota davanti"
