input,risposta
,
<Media omitted>,Grazie
Di nulla,We. Se siamo altri 4 balzi anche tu?
No no😂,Ok. Io pincia. Oi Pincia*
Oiii,Ti posso chiamare un attimo?? È per mate😂
Clarissa ha il mio libro,?. Gli stessi es intendi?
Si,"Ciao Pincia, scusa se ti disturbo, ma non ho capito un es di fisica probabilmente pk non ho ben capito gli ultimi argomenti. Me lo potresti spiegare?"
L'app,Two Player games
Grazie,"Ciao Pincia, mi potresti mandare l'es 36 di pag 137? Non per copiarlo, lo devo confrontare. No niente, ho risolto😅😂"
Ah ok,Oiiii. Conosci Giovanni Trapattoni?
Perché?,È un famoso allenatore di calcio della squadra nazionale italiana
Pensavo dicessi un ragazzo😂,Sii hha. No ma va. Quindi lo conosci..?
Si si,Ecco. Questo weekend esco a cena con lui😂
🤯😱,Ah nn lo sapevo. 😂😂. Non per vantarmi pk neanche lo conoscevo. Infatti lo dirò solo a te
Ok,Perché si che sei un fanatico😂
Portami l'autografo😂😂,Se vuoi un autografo magari glielo chiedo
Dai dai,Ecco appunto😂😂😂😂😂
😂😂,"So che la situazione è grave e che non bisogna sottovalutarla, sono gia tutti mobilitati per trovare una soluzione, quindi per ora possiamo solo mamtenere la calma, rispettando le giuste precauzioni già inoltrate da me.. Di sicuro è meglio non scrivere nel gruppo classe. Lo scrivo a te solo perché so che sei uno dei più intelligenti e mi posso fidare"
Okkk,"Cmq ti avviso che è quasi sicuro ormai che la prossima settimana la scuola chiuderà, non DIFFONDERE la notizia per ora, non c'è nulla di ancora ufficiale. Aspetto informazioni dai rappresentanti o circolari varie"
Grazie,"Pincia scusa sai dove posso trovare la spiegazione dei problemi con i due pesi e la carrucola?. Con un peso sul piano inclinato, di fisica"
"No, mi spiace","Ok fa niente grazie. Ciao Pincia, mi potresti mandare il problema 8 della scheda da fare per ieri? Devo capire una cosa"
Ok,Grazie
<Media omitted>,"Si si grazie. È pk non ho ben capito la tensione del filo da cosa dipende. Ma è un po' come la forza normale no? Varia a seconda della forza alla quale è sottoposta, da quel che ho capito haha😅"
La tensione ha stessa intensita del peso // se il piano è privo di attrito,Ok ok allora ho capito grazzie mille
Niente,"Ciao Pincia, mi potresti mandare il problema numero 4 che c'è da fare per doma? Non l'ho ben capito🤔. In realtà neanche il 5 ho capito, mi sa tanto che devo ripassare il momento delle forze😅"
Ok😂,Poi va beh in realta neanche la regola della mano destra😂. Pero quella la cerchero su internet haha
<Media omitted>,Grazie
Ottimo😂😂,🤷🏻‍♂️😂
Mi sono appena accorto,"Non importa. Alla fine ho detto che quei due non li avevo capiti. Che è la verità perché non voglio copiare, li avrei fatti solo se avessi capito veramente tutti i ragionamenti, ma visto che non è cosi🤷🏻‍♂️. Il mio più grande pregio è l'onestà 😌"
👏🏻,😂
Ottimo gesto,"Ei. Mi sono reso conto che ti scrivo sempre solo per chiederti qualcosa di fisica😅. Giuro che questa è lultima hahah, la prof diceva sempre che lei voleva il segno + O - assegnato al momento, com'è che andava messo? Nel senso quando è positivo e quando negativo"
Negatio orario,Okok. Positivo punto e negativo croce per intenderci. Grazie mille
Niente,Tu lo vuoi l'annuario?
Si grazie,Grazie Pincia
Per cosa,"Tra messaggi di gruppi e ippedico che mi scriveva"" ma che cazzo di domande fa"" non ne potevo piu😂. Per aver detto anche tu che scrivevate dal gruppo"
Tra,👍
Dico la realtà😉,Bravo haha grazie mille. ✌️
Mi gireresti la password che dopo la lezione faccio il questionario,Numero di registro?
Quello su altervista frisimonza tipo,No il numero di registro. Quello della scuola. Del registro che abbiamo a scuola hai presente?
Ah ok,Oi. Tu per caso stai cercando una ragazza? 🙃
"Ora no, perché?????",C'è una mia amica che sta cercando un ragazzo carino e ho pensato a te🤷🏻‍♂️. Tu facci un pensierino😉
Come si chiama???,Giulia Vilone
Auguriiiii Cataaaaa!!!!!!!!!!🎉🎊🎉🎊🎉,GRAZIE PINCIAAA
"""Nato principesso cresciuto guerriero"" mi piace😂😂😂",Ahhahaha. Mi è uscita particolarmente bene haha
Già ahahahahaha,francescoandrea.catalanotti.05@frisimonza.edu.it. Mi hanno detto di darla a te
Ti ho appena condiviso il file di word che abbiamo in comune noi del gruppo di educazione fisica. Dentro vi è scritto cosa bisogna fare.,"Ok, grazie"
Niente,"Ma mancano solo due lezioni... Tu da quand'è che le fai scusa?. Ma scusa Pincia, il modulo di iscrizione era da inviare entro il 16 ottobre, quasi due mesi fa... Io non avevo visto la circolare e mi sono perso tutto.🥺"
Eggià,Hai detto che ieri hanno parlato di cose molto più avanti nel programma. Ti ricordi qualcosina?🥺. Almeno il nome di un argomento🥺
Polinomi,In che senso. I polinomi li abbiamo fatti direi😂
?,"Definisci p😂. Cioè è una catena di polinomi con valore dellincognita 2. Non mi sembra molto divertente, è solo palloso haha"
"No, dipende in che modo lo guardi ahah",Spiegati pls haha. È interessante
Hanno usato formule strane,"Ma hahaha. Ma un nome, un qualcosa di riferimento, per capire di cosa stessero parlando?😅"
😂😂,😂. Gufi gufo. Hahaha. È arrivata anche l'amica. HAHAHA
Come si chiamano,Edvige la piccola e l'altro l'ho sempre chiamato Gufone hahah haha
Missed voice call,Pincia. Ti prego mi puoi dare una mano?. Non mi aspettavo tutto questo io. Pinciaaa pls
Cmq dice cose un po strane,"Si infatti, non sto capendo molto hahahaha. Marco. Ho bisogno di te😂"
<Media omitted>,"Okok grazie mille. Piccola curiosità, nella domanda sui cavalieri seduti a tavola cosa hai risposto? E anche a quella delle due fontane che riempivano la stessa cosa. Come mi spiego bene ahahaha. Scherzavo, quello sei cavalieri l'ho risolto, solo che avevo poco tempo perché era l'ultima domanda e per l'agitazione non ci sono arrivato. Solo quello della fontana non ho capito"
Per il tempo,"Ah cacchio, allora è l'unica che ho cannato haha. Grazie :)"
Niente,"12° a parimerito con te, andrà meglio la prossima volta"
L'anno prossimo ci rifaremo😂,Io ho sbagliato un problema e lasciato in bianco due. Uno dei due in bianco l'ho risolto in 10 secondi appena finita la prova🥲. Sarei arrivato ⁷°
Bene...,😂 purtroppo non penso
Già 😂,Oh no...... Hai sbagliato a cliccare...)
La prossima volta starò più  attento😂,Mi dispiace un sacco
"Se sono pirla io, dovrò controllare prima di consegnare",Si lo so però mi dispiace comunque
Dispiace anche a me..,Perfetto hahaha
Hai visto la circolare,No perché?. Non dirmi che siamo passati ai Giochi di Archimede?
Sì,WOOOO SERIO?. Grande pinciaaa
Quelli che fanno punti tra 40 e 60,Ahhhhhh. Un sacco di gente allora haha va beh a noi va bene così
Sisi😂😂,Adesso vado a leggerla
Siamo 23,E sta volta vediamo di mettere giuste le risposte😂. Okok
Sì 😂,Quanto stai rosicando per quella risposta sbagliata?😂. Ah ma aspetta. Loro mandano quei nomi ma non è detto che prendano tutti?
Penso li prendano tutti,Ah ok ok
Cata,Mi dica
Potresti chiedere al prof dove ha messo il film da vedere?,Okok
L'ha messo ora,"Hahaha perfetto. Anche perché qui non è ancora arrivato. Oii. Pronto per le 15?. Oggi dobbiamo impegnarci. Tu hai provato a fare quelli del 2020? Io ho provato solo i primi 5 e ne ho fatti 3 giusti, uno sbagliato e ad uno non ho risposto"
Tu??,"Erano difficilotti alcuni vero?. Si dai, cercherò di impegnarmi :))"
"Sì, alcuni erano un po più simpatici",Buona fortuna :))
Anche a te!!,Di niente. pincia. mi puoi mandare il testo della tua prova?
<Media omitted>,Non ti sono sembrate un po' troppo al di sopra della nostra portata?
Allora,Chiedi anche un parere a tuo padre se puoi. Dimmi
Ha detto che erano molto difficili,Mm. Perché secondo questa sarebbe dovuta essere per il triennio
Non impossibili ma...,Un mio amico in quinta aveva delle domande uguali. Io ne ho fatti solo 3 sinceramente...
